epoch,binary_accuracy,f1_score,false_negatives,false_positives,loss,precision,recall,val_binary_accuracy,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall
0,0.7985473871231079,0.8520020842552185,261.0,793.0,0.4455685019493103,0.8203850388526917,0.9327839016914368,0.7387820482254028,0.7692307233810425,2.0,161.0,0.46210455894470215,0.7067395448684692,0.9948717951774597
1,0.920298159122467,0.8520020842552185,142.0,275.0,0.24235816299915314,0.9315239191055298,0.9634303450584412,0.7932692170143127,0.7692307233810425,2.0,127.0,0.41325315833091736,0.753398060798645,0.9948717951774597
2,0.9478210806846619,0.8520020842552185,114.0,159.0,0.16547630727291107,0.9595214128494263,0.9706412553787231,0.7996794581413269,0.7692307233810425,2.0,123.0,0.4257723093032837,0.7592955231666565,0.9948717951774597
3,0.9623470902442932,0.8520020842552185,90.0,107.0,0.1288946121931076,0.9725641012191772,0.976822018623352,0.7932692170143127,0.7692307233810425,1.0,128.0,0.4981098175048828,0.752417802810669,0.9974358677864075
4,0.968845546245575,0.8520020842552185,76.0,87.0,0.10765227675437927,0.9776579141616821,0.9804275035858154,0.7948718070983887,0.7692307233810425,0.0,128.0,0.5243952870368958,0.7528957724571228,1.0
5,0.9728593230247498,0.8520020842552185,67.0,75.0,0.09465741366147995,0.9807247519493103,0.9827452898025513,0.7804487347602844,0.7692307233810425,0.0,137.0,0.6119368672370911,0.7400379776954651,1.0
6,0.9743883609771729,0.8520020842552185,68.0,66.0,0.08314663171768188,0.9829940795898438,0.9824877381324768,0.8044871687889099,0.7692307233810425,1.0,121.0,0.5871614217758179,0.7627450823783875,0.9974358677864075
7,0.9826070070266724,0.8520020842552185,40.0,51.0,0.07221872359514236,0.9869029521942139,0.9896987080574036,0.7916666865348816,0.7692307233810425,1.0,129.0,0.6505712866783142,0.7509652376174927,0.9974358677864075
8,0.9803134799003601,0.8520020842552185,51.0,52.0,0.06915421038866043,0.9866117238998413,0.9868658185005188,0.8028846383094788,0.7692307233810425,1.0,122.0,0.6498525738716125,0.7612524628639221,0.9974358677864075
9,0.9824159145355225,0.8520020842552185,48.0,44.0,0.06247347220778465,0.9886568784713745,0.9876384139060974,0.7884615659713745,0.7692307233810425,1.0,131.0,0.7242618799209595,0.7480769157409668,0.9974358677864075
