epoch,binary_accuracy,f1_score,false_negatives,false_positives,loss,precision,recall,val_binary_accuracy,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall
0,0.8189984560012817,0.8520020842552185,157.0,790.0,0.40207439661026,0.8250664472579956,0.9595673680305481,0.7900640964508057,0.7692307233810425,5.0,126.0,0.4021117091178894,0.7534246444702148,0.9871794581413269
1,0.9529816508293152,0.8520020842552185,133.0,113.0,0.15715505182743073,0.9707481265068054,0.965748131275177,0.8333333134651184,0.7692307233810425,3.0,101.0,0.3918507397174835,0.7930327653884888,0.9923076629638672
2,0.9676987528800964,0.8520020842552185,84.0,85.0,0.09839650243520737,0.9781153202056885,0.978367269039154,0.8557692170143127,0.7692307233810425,2.0,88.0,0.39780840277671814,0.8151260614395142,0.9948717951774597
3,0.9762997031211853,0.8520020842552185,64.0,60.0,0.07369095832109451,0.9845321178436279,0.9835178852081299,0.8237179517745972,0.7692307233810425,2.0,108.0,0.4899592697620392,0.7822580933570862,0.9948717951774597
4,0.9806957244873047,0.8520020842552185,52.0,49.0,0.06106675788760185,0.9873711466789246,0.9866082668304443,0.8044871687889099,0.7692307233810425,2.0,120.0,0.5589474439620972,0.7637795209884644,0.9948717951774597
5,0.9833715558052063,0.8520020842552185,45.0,42.0,0.04916413873434067,0.9891752600669861,0.988411009311676,0.8092948794364929,0.7692307233810425,2.0,117.0,0.5928137302398682,0.7683168053627014,0.9948717951774597
6,0.9864296913146973,0.8520020842552185,37.0,34.0,0.04140486568212509,0.9912371039390564,0.9904713034629822,0.8044871687889099,0.7692307233810425,2.0,120.0,0.6506356596946716,0.7637795209884644,0.9948717951774597
7,0.9879587292671204,0.8520020842552185,30.0,33.0,0.03717619180679321,0.9915080070495605,0.9922739863395691,0.7996794581413269,0.7692307233810425,2.0,123.0,0.6907006502151489,0.7592955231666565,0.9948717951774597
8,0.9900611639022827,0.8520020842552185,30.0,22.0,0.031285740435123444,0.9943225979804993,0.9922739863395691,0.8012820482254028,0.7692307233810425,2.0,122.0,0.72639399766922,0.7607843279838562,0.9948717951774597
9,0.9921635985374451,0.8520020842552185,24.0,17.0,0.02699257619678974,0.9956140518188477,0.9938192367553711,0.8044871687889099,0.7692307233810425,2.0,120.0,0.7299859523773193,0.7637795209884644,0.9948717951774597
