epoch,binary_accuracy,f1_score,false_negatives,false_positives,loss,precision,recall,val_binary_accuracy,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall
0,0.788226306438446,0.8520020842552185,180.0,928.0,0.4423144459724426,0.7996113300323486,0.9536440968513489,0.7387820482254028,0.7692307233810425,2.0,161.0,0.4678420126438141,0.7067395448684692,0.9948717951774597
1,0.9363532066345215,0.8520020842552185,140.0,193.0,0.20170040428638458,0.9509654641151428,0.9639453887939453,0.7980769276618958,0.7692307233810425,2.0,124.0,0.4248327612876892,0.7578125,0.9948717951774597
2,0.9629204869270325,0.8520020842552185,107.0,87.0,0.12039704620838165,0.9774786233901978,0.9724439978599548,0.7948718070983887,0.7692307233810425,1.0,127.0,0.47621917724609375,0.7538759708404541,0.9974358677864075
3,0.9699923396110535,0.8520020842552185,76.0,81.0,0.08951226621866226,0.9791666865348816,0.9804275035858154,0.7820512652397156,0.7692307233810425,0.0,136.0,0.5858961939811707,0.7414448857307434,1.0
4,0.9755351543426514,0.8520020842552185,66.0,62.0,0.0724429339170456,0.984016478061676,0.9830028414726257,0.7900640964508057,0.7692307233810425,0.0,131.0,0.612554132938385,0.7485604882240295,1.0
5,0.9795489311218262,0.8520020842552185,59.0,48.0,0.06020864471793175,0.9876033067703247,0.9848055839538574,0.7772436141967773,0.7692307233810425,0.0,139.0,0.6844938397407532,0.7372400760650635,1.0
6,0.9837538003921509,0.8520020842552185,44.0,41.0,0.05189508944749832,0.9894329905509949,0.9886685609817505,0.7708333134651184,0.7692307233810425,0.0,143.0,0.7513949275016785,0.7317073345184326,1.0
7,0.9854739904403687,0.8520020842552185,39.0,37.0,0.04521116614341736,0.9904663562774658,0.9899562001228333,0.7820512652397156,0.7692307233810425,1.0,135.0,0.7474441528320312,0.7423664331436157,0.9974358677864075
8,0.9864296913146973,0.8520020842552185,36.0,35.0,0.041672494262456894,0.9909840226173401,0.9907287955284119,0.7836538553237915,0.7692307233810425,1.0,134.0,0.7614071369171143,0.7437858581542969,0.9974358677864075
9,0.9873853325843811,0.8520020842552185,34.0,32.0,0.037200283259153366,0.9917547106742859,0.9912438988685608,0.7852563858032227,0.7692307233810425,1.0,133.0,0.7924221754074097,0.7452107071876526,0.9974358677864075
