epoch,binary_accuracy,f1_score,false_negatives,false_positives,loss,precision,recall,val_binary_accuracy,val_f1_score,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall
0,0.8253058195114136,0.8520020842552185,182.0,732.0,0.3850579857826233,0.8348748087882996,0.9531290531158447,0.7612179517745972,0.7692307233810425,4.0,145.0,0.4528749883174896,0.7269303202629089,0.9897435903549194
1,0.9426605701446533,0.8520020842552185,138.0,162.0,0.19181640446186066,0.9585359692573547,0.9644604921340942,0.8044871687889099,0.7692307233810425,5.0,117.0,0.4368334412574768,0.7669322490692139,0.9871794581413269
2,0.9512614607810974,0.8520020842552185,138.0,117.0,0.1499370038509369,0.969704806804657,0.9644604921340942,0.8028846383094788,0.7692307233810425,4.0,119.0,0.4821709394454956,0.7643564343452454,0.9897435903549194
3,0.9583333134651184,0.8520020842552185,119.0,99.0,0.1288769394159317,0.9743722677230835,0.9693536162376404,0.8028846383094788,0.7692307233810425,4.0,119.0,0.5059759020805359,0.7643564343452454,0.9897435903549194
4,0.9627293348312378,0.8520020842552185,113.0,82.0,0.11381262540817261,0.9787123799324036,0.9708988070487976,0.7916666865348816,0.7692307233810425,4.0,126.0,0.5481047630310059,0.75390625,0.9897435903549194
5,0.9665519595146179,0.8520020842552185,97.0,78.0,0.10490069538354874,0.9798136353492737,0.9750193357467651,0.7996794581413269,0.7692307233810425,4.0,121.0,0.5417894124984741,0.7613412141799927,0.9897435903549194
6,0.968845546245575,0.8520020842552185,96.0,67.0,0.09633820503950119,0.9826154708862305,0.9752768278121948,0.7868589758872986,0.7692307233810425,4.0,129.0,0.5793838500976562,0.7495145797729492,0.9897435903549194
7,0.9707568883895874,0.8520020842552185,94.0,59.0,0.08933127671480179,0.9846673607826233,0.9757919311523438,0.7852563858032227,0.7692307233810425,4.0,130.0,0.5971136093139648,0.748062014579773,0.9897435903549194
8,0.973432719707489,0.8520020842552185,81.0,58.0,0.086282879114151,0.9849740862846375,0.9791398644447327,0.7852563858032227,0.7692307233810425,2.0,132.0,0.6105805039405823,0.7461538314819336,0.9948717951774597
9,0.9728593230247498,0.8520020842552185,94.0,48.0,0.082109734416008,0.9874902367591858,0.9757919311523438,0.7724359035491943,0.7692307233810425,2.0,140.0,0.6558822393417358,0.7348484992980957,0.9948717951774597
